Hs-PIKFYVE,2000,1000,T117860-PIKFYVE,"p3@PIKFYVE"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T067342,t117860,2,006.0000,1.0,p2@HAUS1,115106,25174,Q96CS2,HAUS1,"HAUS augmin like complex subunit 1","gene with protein product"
2,T000987,t117860,2,007.0000,1.0,p17@CELF2,10659,2550,,CELF2,"CUGBP Elav-like family member 2","gene with protein product"
3,T117860,t128475,2,006.0000,1.0,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
4,T097910,t117860,2,011.0000,1.0,p1@MTF2,22823,29535,F5GXQ2,MTF2,"metal response element binding transcription factor 2","gene with protein product"
5,T117860,t187317,2,004.0000,0.999501246883,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
6,T117860,t145163,2,012.0000,0.999006951341,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
7,T117860,t139511,2,010.0000,0.999005964215,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
8,T051880,t117860,2,008.0000,0.999004975124,p3@BRD7,29117,14310,Q9NPI1,BRD7,"bromodomain containing 7","gene with protein product"
9,T117860,t196102,2,007.0000,0.999004479841,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
10,T084509,t117860,2,007.0000,0.999004479841,p2@VANGL2,57216,15511,"A8K4L6,Q9ULK5",VANGL2,"VANGL planar cell polarity protein 2","gene with protein product"
11,T089506,t117860,2,006.0000,0.999003984064,p1@ANGEL2,90806,30534,,ANGEL2,"angel homolog 2","gene with protein product"
12,T117860,t200159,2,006.0000,0.999003984064,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
13,T083664,t117860,2,005.0000,0.999003487793,p1@TTC24,164118,32348,,TTC24,"tetratricopeptide repeat domain 24","gene with protein product"
14,T031829,t117860,2,004.0000,0.999002991027,p2@ZMYM2,7750,12989,Q9UBW7,ZMYM2,"zinc finger MYM-type containing 2","gene with protein product"
15,T050602,t117860,2,002.0000,0.999001996008,p17@MAZ,4150,6914,,MAZ,"MYC associated zinc finger protein","gene with protein product"
16,T117860,t143747,2,001.0000,0.999001497753,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
17,T117860,t168195,2,007.0000,0.998507462687,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
18,T053159,t117860,2,005.0000,0.998505976096,p4@RLTPR,146206,27089,"Q6F5E8,E7EW12",CARMIL2,"capping protein regulator and myosin 1 linker 2","gene with protein product"
19,T021637,t117860,2,005.0000,0.998505976096,p6@ETV6,2120,3495,P41212,ETV6,"ETS variant 6","gene with protein product"
20,T117860,t142397,2,003.0000,0.99850448654,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
21,T116585,t117860,2,005.0000,0.998008959681,p3@TMEM194B,100131211,33700,F8VWJ7,NEMP2,"nuclear envelope integral membrane protein 2","gene with protein product"
22,T020978,t117860,2,002.0000,0.998005982054,p9@C12orf24,29902,30180,F8VXY8,FAM216A,"family with sequence similarity 216 member A","gene with protein product"
23,T109981,t117860,2,000.0000,0.998003992016,p1@ZBED4,9889,20721,O75132,ZBED4,"zinc finger BED-type containing 4","gene with protein product"
24,T050604,t117860,2,004.0000,0.997014925373,p13@MAZ,4150,6914,,MAZ,"MYC associated zinc finger protein","gene with protein product"
25,T078522,t117860,1,997.0000,0.99700449326,p7@ZNF460,10794,21628,Q14592,ZNF460,"zinc finger protein 460","gene with protein product"
26,T117860,t171491,1,996.0000,0.996505242137,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
27,T078514,t117860,2,000.0000,0.996015936255,p5@ZNF805,390980,23272,"E9PAK9,Q5CZA5",ZNF805,"zinc finger protein 805","gene with protein product"
28,T044823,t117860,2,000.0000,0.995520159283,p3@TCF12,6938,11623,,TCF12,"transcription factor 12","gene with protein product"
29,T018241,t117860,1,996.0000,0.995511221945,p4@FCHSD2,9873,29114,O94868,FCHSD2,"FCH and double SH3 domains 2","gene with protein product"
30,T051247,t117860,1,996.0000,0.995014955135,p7@ARMC5,79798,25781,F5H156,ARMC5,"armadillo repeat containing 5","gene with protein product"
31,T117860,t167918,1,998.0000,0.994524639124,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
32,T117860,t163222,1,996.0000,0.99451918286,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
33,T109793,t117860,1,994.0000,0.994017946162,p2@GTSE1,51512,13698,Q9NYZ3,GTSE1,"G2 and S-phase expressed 1","gene with protein product"
34,T060687,t117860,1,994.0000,0.993522670653,p1@MBTD1,54799,19866,Q05BQ5,MBTD1,"mbt domain containing 1","gene with protein product"
35,T102201,t117860,1,993.0000,0.993024414549,p11@ADNP,23394,15766,Q9H2P0,ADNP,"activity dependent neuroprotector homeobox","gene with protein product"
36,T117860,t197215,1,990.0000,0.993013972056,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
37,T017588,t117860,1,994.0000,0.991546494281,p7@PTPRCAP,5790,9667,Q14761,PTPRCAP,"protein tyrosine phosphatase, receptor type C associated protein","gene with protein product"
38,T038196,t117860,1,990.0000,0.991529646238,p13@CTAGE5,4253,7057,,CTAGE5,"CTAGE family member 5, ER export factor","gene with protein product"
39,T117860,t132506,1,987.0000,0.990528414756,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
40,T117860,t185910,1,988.0000,0.989547038328,p3@PIKFYVE,200576,23785,C9JL08,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing","gene with protein product"
