Hs-PLTP,2000,1000,T101393-PLTP,"p1@PLTP"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T011776,t101393,2,008.0000,1.0,p1@ADAMTS15,170689,16305,Q8TE58,ADAMTS15,"ADAM metallopeptidase with thrombospondin type 1 motif 15","gene with protein product"
2,T101393,t191487,2,005.0000,1.0,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
3,T101387,t101393,2,012.0000,1.0,p6@PLTP,5360,9093,,PLTP,"phospholipid transfer protein","gene with protein product"
4,T099423,t101393,2,010.0000,1.0,p2@CPXM1,56265,15771,Q96SM3,CPXM1,"carboxypeptidase X, M14 family member 1","gene with protein product"
5,T101393,t107739,2,010.0000,0.999502734958,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
6,T078479,t101393,2,014.0000,0.999007936508,p1@BSG,682,1116,"P35613,Q54A51",BSG,"basigin (Ok blood group)","gene with protein product"
7,T101393,t107737,2,008.0000,0.999004975124,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
8,T101390,t101393,2,005.0000,0.999003487793,p10@PLTP,5360,9093,"B4DDD5,P55058",PLTP,"phospholipid transfer protein","gene with protein product"
9,T063791,t101393,2,003.0000,0.999002493766,p73@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
10,T101393,t151462,2,003.0000,0.999002493766,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
11,T101389,t101393,2,002.0000,0.999001996008,p5@PLTP,5360,9093,"B4DDD5,P55058",PLTP,"phospholipid transfer protein","gene with protein product"
12,T063768,t101393,2,011.0000,0.998014888337,p36@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
13,T101393,t155588,2,004.0000,0.997511199602,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
14,T012927,t101393,2,007.0000,0.997019374069,p3@IGF2,3481,5466,P01344,IGF2,"insulin like growth factor 2","gene with protein product"
15,T015464,t101393,2,002.0000,0.996019900498,p6@CCDC86,79080,28359,Q9H6F5,CCDC86,"coiled-coil domain containing 86","gene with protein product"
16,T064218,t101393,1,999.0000,0.996013951171,p1@LGALS3BP,3959,6564,B4DVE1,LGALS3BP,"galectin 3 binding protein","gene with protein product"
17,T101393,t135481,1,997.0000,0.996009975062,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
18,T063770,t101393,1,997.0000,0.994026879044,p23@SEPT9,10801,7323,Q9UHD8,SEPT9,"septin 9","gene with protein product"
19,T015740,t101393,1,994.0000,0.994017946162,p1@RAB3IL1,5866,9780,Q8TBN0,RAB3IL1,"RAB3A interacting protein like 1","gene with protein product"
20,T101393,t158216,1,994.0000,0.993522670653,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
21,T093399,t101393,1,993.0000,0.993024414549,p4@COL16A1,1307,2193,,COL16A1,"collagen type XVI alpha 1 chain","gene with protein product"
22,T056150,t101393,1,992.0000,0.993020937188,p1@MFAP4,4239,7035,,MFAP4,"microfibrillar associated protein 4","gene with protein product"
23,T101393,t200759,1,992.0000,0.993020937188,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
24,T101393,t143180,1,992.0000,0.992526158445,p1@PLTP,5360,9093,"P55058,E7EV16",PLTP,"phospholipid transfer protein","gene with protein product"
25,T037015,t101393,1,994.0000,0.992039800995,p7@SLC7A8,23428,11066,,SLC7A8,"solute carrier family 7 member 8","gene with protein product"
