Hs-TNFAIP6,2000,1000,T113289-TNFAIP6,"p1@TNFAIP6"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T042273,t113289,2,011.0000,0.999502982107,p4@NIPA1,123606,17043,Q7RTP0,NIPA1,"non imprinted in Prader-Willi/Angelman syndrome 1","gene with protein product"
2,T044913,t113289,2,013.0000,0.999007444169,p8@AQP9,366,643,,AQP9,"aquaporin 9","gene with protein product"
3,T009798,t113289,2,007.0000,0.999004479841,p6@IL18,3606,5986,"Q14116,Q6WWJ7",IL18,"interleukin 18","gene with protein product"
4,T098864,t113289,2,006.0000,0.999003984064,p35@RIN2,54453,18750,,RIN2,"Ras and Rab interactor 2","gene with protein product"
5,T113289,t173657,2,003.0000,0.999002493766,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
6,T037872,t113289,2,001.0000,0.999001497753,p1@PSMA6,5687,9535,"G3V2S7,G3V5Z7,G3V3U4,G3V3I1,B4DQR4",PSMA6,"proteasome subunit alpha 6","gene with protein product"
7,T113289,t173658,2,009.0000,0.998508946322,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
8,T113289,t162394,2,008.0000,0.998508204873,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
9,T077482,t113289,2,007.0000,0.998507462687,p4@FPR2,2358,3827,P25090,FPR2,"formyl peptide receptor 2","gene with protein product"
10,T060054,t113289,2,006.0000,0.998506719761,p7@UBE2Z,65264,25847,,UBE2Z,"ubiquitin conjugating enzyme E2 Z","gene with protein product"
11,T034348,t113289,2,003.0000,0.99850448654,p1@IRG1,730249,33904,A6NK06,ACOD1,"aconitate decarboxylase 1","gene with protein product"
12,T113289,t138431,2,011.0000,0.998014888337,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
13,T113289,t143796,2,007.0000,0.998010939831,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
14,T113289,t138429,2,001.0000,0.998004987531,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
15,T113289,t161442,2,003.0000,0.997509960159,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
16,T113289,t189186,2,005.0000,0.996520874751,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
17,T113289,t124933,2,003.0000,0.996517412935,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
18,T033207,t113289,1,996.0000,0.996007984032,p57@TSC22D1,8848,16826,,TSC22D1,"TSC22 domain family member 1","gene with protein product"
19,T014958,t113289,1,996.0000,0.995511221945,p3@TRIM34,53840,10063,,TRIM34,"tripartite motif containing 34","gene with protein product"
20,T113289,t178221,1,994.0000,0.99550673989,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
21,T094111,t113289,1,996.0000,0.995014955135,p3@MTF1,4520,7428,,MTF1,"metal regulatory transcription factor 1","gene with protein product"
22,T084591,t113289,1,997.0000,0.994026879044,p3@SLAMF7,57823,21394,"A8K3U1,Q9NQ25",SLAMF7,"SLAM family member 7","gene with protein product"
23,T113289,t161444,1,992.0000,0.993020937188,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
24,T113289,t194990,1,993.0000,0.992529880478,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
25,T029795,t113289,1,993.0000,0.992529880478,p4@CLEC4E,26253,14555,F8WFA1,CLEC4E,"C-type lectin domain family 4 member E","gene with protein product"
26,T009799,t113289,1,991.0000,0.992522432702,p5@IL18,3606,5986,"Q14116,Q6WWJ7",IL18,"interleukin 18","gene with protein product"
27,T113289,t139399,1,991.0000,0.992027902342,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
28,T113289,t199018,1,991.0000,0.992027902342,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
29,T113289,t159704,1,992.0000,0.990551964197,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
30,T113289,t147969,1,990.0000,0.990049751244,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
31,T079791,t113289,1,988.0000,0.990039840637,p2@SLC30A7,148867,19306,Q8NEW0,SLC30A7,"solute carrier family 30 member 7","gene with protein product"
32,T044912,t113289,1,992.0000,0.98956780924,p1@AQP9,366,643,,AQP9,"aquaporin 9","gene with protein product"
33,T089105,t113289,1,988.0000,0.989054726368,p3@LAMB3,3914,6490,Q13751,LAMB3,"laminin subunit beta 3","gene with protein product"
34,T008002,t113289,1,987.0000,0.989049278248,p3@IFIT3,3437,5411,O14879,IFIT3,"interferon induced protein with tetratricopeptide repeats 3","gene with protein product"
35,T029796,t113289,1,985.0000,0.988545816733,p3@CLEC4E,26253,14555,F8WFA1,CLEC4E,"C-type lectin domain family 4 member E","gene with protein product"
36,T113289,t161424,1,981.0000,0.988522954092,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
37,T113289,t174242,1,990.0000,0.988083416087,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
38,T110015,t113289,1,985.0000,0.988053758089,p3@PIM3,415116,19310,,PIM3,"Pim-3 proto-oncogene, serine/threonine kinase","gene with protein product"
39,T008010,t113289,1,985.0000,0.987562189055,p8@IFIT3,3437,5411,O14879,IFIT3,"interferon induced protein with tetratricopeptide repeats 3","gene with protein product"
40,T113289,t161491,1,982.0000,0.987543597409,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
41,T113289,t114157,1,981.0000,0.987537387836,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
42,T113289,t132753,1,984.0000,0.985593641331,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
43,T096916,t113289,1,975.0000,0.984546360917,p1@IFI44,10561,16938,"Q8TCB0,C9JUM8,B7ZAG3",IFI44,"interferon induced protein 44","gene with protein product"
44,T034373,t113289,1,979.0000,0.982621648461,p2@IRG1,730249,33904,,ACOD1,"aconitate decarboxylase 1","gene with protein product"
45,T113289,t163840,1,971.0000,0.981085116974,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
46,T084590,t113289,1,969.0000,0.981066268062,p2@SLAMF7,57823,21394,"Q9NQ25,B4DVL7,B4DWA3",SLAMF7,"SLAM family member 7","gene with protein product"
47,T113289,t158063,1,978.0000,0.980664353,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
48,T113289,t161439,1,970.0000,0.980587356894,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
49,T026739,t113289,1,969.0000,0.980089596814,p1@GPR84,53831,4535,Q9NQS5,GPR84,"G protein-coupled receptor 84","gene with protein product"
50,T113289,t164667,1,976.0000,0.979672781358,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
51,T113289,t168317,1,964.0000,0.979551122195,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
52,T008009,t113289,1,967.0000,0.979094076655,p5@IFIT3,3437,5411,O14879,IFIT3,"interferon induced protein with tetratricopeptide repeats 3","gene with protein product"
53,T113289,t153754,1,966.0000,0.978596316575,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
54,T113289,t161441,1,961.0000,0.978054862843,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
55,T113289,t173652,1,968.0000,0.977645305514,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
56,T113289,t173893,1,967.0000,0.977634194831,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
57,T113289,t124705,1,962.0000,0.977578475336,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
58,T029797,t113289,1,965.0000,0.976640159046,p2@CLEC4E,26253,14555,Q9ULY5,CLEC4E,"C-type lectin domain family 4 member E","gene with protein product"
59,T113289,t194989,1,962.0000,0.976605276257,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
60,T113289,t193625,1,961.0000,0.976107516177,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
61,T113289,t147970,1,961.0000,0.976107516177,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
62,T113289,t174243,1,955.0000,0.97506234414,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
63,T094113,t113289,1,955.0000,0.974576271186,p2@MTF1,4520,7428,Q14872,MTF1,"metal regulatory transcription factor 1","gene with protein product"
64,T113289,t165709,1,955.0000,0.974090682611,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
65,T113289,t161443,1,955.0000,0.973120955699,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
66,T097526,t113289,1,950.0000,0.972083748754,p3@GBP3,2635,4184,,GBP3,"guanylate binding protein 3","gene with protein product"
67,T113289,t158062,1,956.0000,0.971684053651,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
68,T113289,t164279,1,948.0000,0.971571072319,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
69,T113289,t119389,1,947.0000,0.971072319202,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
70,T079108,t113289,1,951.0000,0.970164097464,p1@EMR1,2015,3336,"Q14246,E9PD45,E7EPX9",ADGRE1,"adhesion G protein-coupled receptor E1","gene with protein product"
71,T113289,t161397,1,947.0000,0.969621513944,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
72,T015426,t113289,1,944.0000,0.96957605985,p7@MS4A14,84689,30706,Q96JA4,MS4A14,"membrane spanning 4-domains A14","gene with protein product"
73,T055600,t113289,1,951.0000,0.969200198708,p3@HS3ST3B1,9953,5198,Q9Y662,HS3ST3B1,"heparan sulfate-glucosamine 3-sulfotransferase 3B1","gene with protein product"
74,T113289,t161386,1,941.0000,0.969046430354,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
75,T113289,t143795,1,942.0000,0.968578553616,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
76,T096917,t113289,1,941.0000,0.96711509716,p2@IFI44,10561,16938,,IFI44,"interferon induced protein 44","gene with protein product"
77,T113289,t159720,1,939.0000,0.967082294264,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
78,T098865,t113289,1,943.0000,0.966185977126,p1@RIN2,54453,18750,,RIN2,"Ras and Rab interactor 2","gene with protein product"
79,T113289,t179006,1,943.0000,0.965705765408,p1@TNFAIP6,7130,11898,P98066,TNFAIP6,"TNF alpha induced protein 6","gene with protein product"
80,T104455,t113289,1,930.0000,0.962593516209,p7@BACH1,571,935,C9JMP6,BACH1,"BTB domain and CNC homolog 1","gene with protein product"
