Hs-BANF2,2000,1000,T098681-BANF2,"p3@BANF2"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T034888,t098681,1,886.0000,0.937375745527,p1@RNF113B,140432,17267,Q8IZP6,RNF113B,"ring finger protein 113B","gene with protein product"
2,T098681,t147577,1,860.0000,0.927218344965,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
3,T098681,t126386,1,856.0000,0.923383084577,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
4,T039727,t098681,1,846.0000,0.919780767314,p1@FAM71D,161142,20101,"E9PM27,Q8N9W8",FAM71D,"family with sequence similarity 71 member D","gene with protein product"
5,T015863,t098681,1,788.0000,0.889995022399,p1@C11orf42,160298,28541,Q8N5U0,C11orf42,"chromosome 11 open reading frame 42","gene with protein product"
6,T098681,t116525,1,776.0000,0.884462151394,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
7,T004415,t098681,1,768.0000,0.880039820806,p14@CREM,1390,2352,"C9J785,C9J2J0,C9J5A7,Q03060",CREM,"cAMP responsive element modulator","gene with protein product"
8,T095018,t098681,1,766.0000,0.879044300647,p2@ATPAF1-AS1,,29589,,TEX38,"testis expressed 38","gene with protein product"
9,T098681,t100886,1,760.0000,0.874316939891,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
10,T098681,t148379,1,741.0000,0.867463876432,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
11,T092745,t098681,1,732.0000,0.863409770688,p3@ZNF683,257101,28495,,ZNF683,"zinc finger protein 683","gene with protein product"
12,T098681,t156838,1,710.0000,0.85201793722,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
13,T022333,t098681,1,710.0000,0.851593625498,p8@CCDC62,84660,30723,F5H0F1,CCDC62,"coiled-coil domain containing 62","gene with protein product"
14,T098681,t106889,1,705.0000,0.850374064838,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
15,T098681,t122642,1,689.0000,0.841554559043,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
16,T073625,t098681,1,682.0000,0.836815920398,p5@THEG,51298,13706,,THEG,"theg spermatid protein","gene with protein product"
17,T074722,t098681,1,673.0000,0.834830339321,p3@LYPD4,147719,28659,Q6UWN0,LYPD4,"LY6/PLAUR domain containing 4","gene with protein product"
18,T078534,t098681,1,671.0000,0.831343283582,p1@PRR22,163154,28354,"E9PB31,Q8IZ63",PRR22,"proline rich 22","gene with protein product"
19,T098681,t129637,1,661.0000,0.825957235206,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
20,T001494,t098681,1,655.0000,0.824203187251,p2@C10orf82,143379,28500,Q8WW14,C10orf82,"chromosome 10 open reading frame 82","gene with protein product"
21,T098681,t148064,1,655.0000,0.823792931807,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
22,T076400,t098681,1,634.0000,0.813339970134,p1@SPACA4,171169,16441,Q8TDM5,SPACA4,"sperm acrosome associated 4","gene with protein product"
23,T029862,t098681,1,633.0000,0.812842210055,p2@C12orf50,160419,26665,G3V208,C12orf50,"chromosome 12 open reading frame 50","gene with protein product"
24,T079229,t098681,1,633.0000,0.812033814023,p3@PCP2,126006,30209,Q8IVA1,PCP2,"Purkinje cell protein 2","gene with protein product"
25,T057391,t098681,1,619.0000,0.80587356894,p3@LYZL6,57151,29614,O75951,LYZL6,"lysozyme like 6","gene with protein product"
26,T061180,t098681,1,607.0000,0.799900447984,p1@HSF5,124535,26862,Q4G112,HSF5,"heat shock transcription factor 5","gene with protein product"
27,T098681,t126588,1,604.0000,0.799601196411,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
28,T098681,t113155,1,595.0000,0.794718485301,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
29,T098681,t129654,1,591.0000,0.793516209476,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
30,T098681,t166542,1,583.0000,0.787562189055,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
31,T023126,t098681,1,573.0000,0.784930139721,p2@GSG1,83445,19716,F5H134,GSG1,"germ cell associated 1","gene with protein product"
32,T098681,t177059,1,559.0000,0.776394422311,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
33,T098681,t100357,1,557.0000,0.774626865672,p3@BANF2,140836,16172,Q9H503,BANF2,"barrier to autointegration factor 2","gene with protein product"
34,T025778,t098681,1,554.0000,0.773519163763,p4@AQP5,362,638,P55064,AQP5,"aquaporin 5","gene with protein product"
35,T004424,t098681,1,537.0000,0.766583541147,p5@CCNY,219771,23354,Q8ND76,CCNY,"cyclin Y","gene with protein product"
