Hs-PRMT7,2000,1000,T053289-PRMT7,"p3@PRMT7"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T048426,t053289,2,007.0000,1.0,p29@IGF1R,3480,5465,,IGF1R,"insulin like growth factor 1 receptor","gene with protein product"
2,T053289,t063856,2,008.0000,1.0,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
3,T053289,t170336,2,009.0000,0.999502487562,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
4,T053289,t060075,2,005.0000,0.999501495513,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
5,T043736,t053289,2,010.0000,0.999005964215,p2@TUBGCP4,27229,16691,Q9UGJ1,TUBGCP4,"tubulin gamma complex associated protein 4","gene with protein product"
6,T053289,t201747,2,010.0000,0.999005964215,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
7,T053289,t128248,2,008.0000,0.999004975124,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
8,T053289,t063145,2,008.0000,0.999004975124,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
9,T053289,t111694,2,008.0000,0.999004975124,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
10,T053289,t055778,2,007.0000,0.999004479841,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
11,T053289,t121628,2,006.0000,0.999003984064,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
12,T024668,t053289,2,005.0000,0.999003487793,p8@BICD1,636,1049,,BICD1,"BICD cargo adaptor 1","gene with protein product"
13,T053289,t073243,2,005.0000,0.999003487793,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
14,T053289,t071135,2,004.0000,0.999002991027,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
15,T053289,t085697,2,003.0000,0.999002493766,p3@PRMT7,54496,25557,Q9NVM4,PRMT7,"protein arginine methyltransferase 7","gene with protein product"
