Hs-RTN1,2000,1000,T039145-RTN1,"p5@RTN1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T018718,t039145,2,011.0000,0.999006458023,p7@PAK1,5058,8590,Q13153,PAK1,"p21 (RAC1) activated kinase 1","gene with protein product"
2,T039145,t140571,2,010.0000,0.999005964215,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
3,T004178,t039145,2,010.0000,0.999005964215,p7@PFKP,5214,8878,,PFKP,"phosphofructokinase, platelet","gene with protein product"
4,T039145,t109515,2,008.0000,0.999004975124,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
5,T039145,t176240,2,006.0000,0.999003984064,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
6,T039145,t122715,2,006.0000,0.999003984064,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
7,T039145,t098777,2,003.0000,0.999002493766,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
8,T039145,t084787,2,002.0000,0.999001996008,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
9,T029628,t039145,2,006.0000,0.998506719761,p2@NECAP1,25977,24539,,NECAP1,"NECAP endocytosis associated 1","gene with protein product"
10,T014654,t039145,2,003.0000,0.998006975585,p4@SLC39A13,91252,20859,,SLC39A13,"solute carrier family 39 member 13","gene with protein product"
11,T039145,t087603,2,002.0000,0.998005982054,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
12,T039145,t188508,1,992.0000,0.99203187251,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
13,T039145,t132064,1,988.0000,0.991026919242,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
14,T039145,t047981,1,988.0000,0.991026919242,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
15,T039145,t051038,1,988.0000,0.991026919242,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
16,T039145,t158148,1,988.0000,0.989054726368,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
17,T025754,t039145,1,987.0000,0.989049278248,p15@FAIM2,23017,17067,Q9BWQ8,FAIM2,"Fas apoptotic inhibitory molecule 2","gene with protein product"
18,T039145,t071366,1,987.0000,0.988065638986,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
19,T039145,t066265,1,982.0000,0.988035892323,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
20,T039145,t088291,1,981.0000,0.988029925187,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
21,T039145,t134262,1,976.0000,0.985044865404,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
22,T039145,t159319,1,975.0000,0.983076157292,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
23,T008193,t039145,1,970.0000,0.980587356894,p2@CPEB3,22849,21746,Q8NE35,CPEB3,"cytoplasmic polyadenylation element binding protein 3","gene with protein product"
24,T039145,t039146,1,966.0000,0.979571499751,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
25,T039145,t116764,1,969.0000,0.978628230616,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
26,T022452,t039145,1,962.0000,0.97855361596,p13@CDK2AP1,8099,14002,F5GYA4,CDK2AP1,"cyclin dependent kinase 2 associated protein 1","gene with protein product"
27,T013945,t039145,1,970.0000,0.978152929494,p13@SLC1A2,6506,10940,,SLC1A2,"solute carrier family 1 member 2","gene with protein product"
28,T039145,t117910,1,969.0000,0.978142076503,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
29,T039145,t065338,1,960.0000,0.974155069583,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
30,T039145,t104626,1,954.0000,0.97262319562,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
31,T039145,t041297,1,952.0000,0.971144278607,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
32,T039145,t117825,1,944.0000,0.969092721834,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
33,T039145,t067395,1,948.0000,0.968672302337,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
34,T039145,t096200,1,947.0000,0.968175037295,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
35,T039145,t138180,1,946.0000,0.96815920398,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
36,T028283,t039145,1,942.0000,0.968095712861,p2@C12orf53,196500,25338,"Q8IYJ0,A8K0T3",PIANP,"PILR alpha associated neural protein","gene with protein product"
37,T039145,t071367,1,940.0000,0.968063872255,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
38,T039145,t075203,1,940.0000,0.967098703888,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
39,T039145,t078185,1,933.0000,0.962170233947,p5@RTN1,6252,10467,Q2NKQ5,RTN1,"reticulon 1","gene with protein product"
