Hs-OAS1,2000,1000,T021214-OAS1,"p9@OAS1"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T021214,t145742,2,008.0000,0.999004975124,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
2,T015503,t021214,2,004.0000,0.999002991027,p15@SLC15A3,51296,18068,"Q05CH4,F5H1C8",SLC15A3,"solute carrier family 15 member 3","gene with protein product"
3,T014891,t021214,2,001.0000,0.999001497753,p2@HBB,3043,4827,,HBB,"hemoglobin subunit beta","gene with protein product"
4,T021214,t068236,2,008.0000,0.998508204873,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
5,T021214,t192825,2,004.0000,0.998007968127,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
6,T021214,t024149,2,003.0000,0.998006975585,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
7,T021214,t176400,2,001.0000,0.998004987531,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
8,T021214,t161659,2,003.0000,0.997013439522,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
9,T021214,t026820,2,005.0000,0.995037220844,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
10,T021214,t093140,1,997.0000,0.995017438964,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
11,T021214,t176424,1,996.0000,0.993034825871,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
12,T021214,t171938,1,991.0000,0.992027902342,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
13,T021214,t053104,1,983.0000,0.990014977534,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
14,T021214,t143274,1,988.0000,0.989054726368,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
15,T021214,t138539,1,985.0000,0.98903836572,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
16,T021214,t045071,1,984.0000,0.989032901296,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
17,T021214,t192175,1,984.0000,0.988540109616,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
18,T020401,t021214,1,979.0000,0.987032418953,p9@CHST11,50515,17422,,CHST11,"carbohydrate sulfotransferase 11","gene with protein product"
19,T021214,t026819,1,978.0000,0.987025948104,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
20,T017588,t021214,1,984.0000,0.986083499006,p7@PTPRCAP,5790,9667,Q14761,PTPRCAP,"protein tyrosine phosphatase, receptor type C associated protein","gene with protein product"
21,T021214,t146478,1,979.0000,0.985557768924,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
22,T021214,t194079,1,978.0000,0.985550572995,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
23,T017759,t021214,1,977.0000,0.985052316891,p8@GAL,51083,4114,,GAL,"galanin and GMAP prepropeptide","gene with protein product"
24,T021214,t133833,1,975.0000,0.983076157292,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
25,T021214,t171846,1,971.0000,0.981573705179,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
26,T014883,t021214,1,973.0000,0.981103928394,p3@HBB,3043,4827,P68871,HBB,"hemoglobin subunit beta","gene with protein product"
27,T014894,t021214,1,970.0000,0.981075697211,p5@HBB,3043,4827,,HBB,"hemoglobin subunit beta","gene with protein product"
28,T021214,t108873,1,962.0000,0.979041916168,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
29,T021214,t066534,1,964.0000,0.977600796416,p9@OAS1,4938,8086,,OAS1,"2'-5'-oligoadenylate synthetase 1","gene with protein product"
30,T017886,t021214,1,960.0000,0.977556109726,p4@FGF3,2248,3681,P11487,FGF3,"fibroblast growth factor 3","gene with protein product"
