Hs-HOXC5,2000,1000,T026629-HOXC5,"p6@HOXC5"
rank,ID,Fabs,Frel,association_with_transcript,entrezgene_id,hgnc_id,uniprot_id,gene_name,description,type
1,T017148,t026629,2,009.0000,1.0,p10@DRAP1,10589,3019,,DRAP1,"DR1 associated protein 1","gene with protein product"
2,T026629,t074593,2,009.0000,1.0,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
3,T026599,t026629,2,006.0000,1.0,p4@HOTAIR,,33510,,HOTAIR,"HOX transcript antisense RNA","RNA, long non-coding"
4,T026629,t026643,2,002.0000,1.0,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
5,T026629,t026640,2,014.0000,0.999007936508,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
6,T026629,t108057,2,013.0000,0.999007444169,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
7,T026620,t026629,2,011.0000,0.999006458023,p1@HOXC10,3226,5122,"Q53XI4,Q9NYD6",HOXC10,"homeobox C10","gene with protein product"
8,T026629,t196552,2,010.0000,0.999005964215,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
9,T026629,t118241,2,010.0000,0.999005964215,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
10,T026629,t026630,2,009.0000,0.999005469915,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
11,T026629,t099963,2,009.0000,0.999005469915,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
12,T026629,t026635,2,008.0000,0.999004975124,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
13,T026629,t045575,2,007.0000,0.999004479841,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
14,T026629,t156157,2,007.0000,0.999004479841,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
15,T026629,t093922,2,007.0000,0.999004479841,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
16,T026629,t030784,2,007.0000,0.999004479841,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
17,T026629,t072756,2,007.0000,0.999004479841,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
18,T009371,t026629,2,006.0000,0.999003984064,p19@EIF4G2,1982,3297,,EIF4G2,"eukaryotic translation initiation factor 4 gamma 2","gene with protein product"
19,T010188,t026629,2,006.0000,0.999003984064,p6@BACE1,23621,933,Q8NDU6,BACE1,"beta-secretase 1","gene with protein product"
20,T026629,t122374,2,005.0000,0.999003487793,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
21,T026629,t196662,2,004.0000,0.999002991027,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
22,T009720,t026629,2,003.0000,0.999002493766,p7@CRYAB,1410,2389,,CRYAB,"crystallin alpha B","gene with protein product"
23,T026629,t169990,2,002.0000,0.999001996008,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
24,T026629,t178359,2,008.0000,0.998508204873,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
25,T005050,t026629,2,007.0000,0.998507462687,p2@AKR1C1,1645,384,,AKR1C1,"aldo-keto reductase family 1 member C1","gene with protein product"
26,T026629,t075507,2,005.0000,0.998505976096,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
27,T026629,t044216,2,004.0000,0.998505231689,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
28,T026629,t145812,2,004.0000,0.998505231689,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
29,T026629,t124225,2,000.0000,0.99850224663,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
30,T026629,t068358,1,999.0000,0.998501498501,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
31,T026629,t040657,2,008.0000,0.998011928429,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
32,T013916,t026629,2,008.0000,0.998011928429,p31@CD44,960,1681,,CD44,"CD44 molecule (Indian blood group)","gene with protein product"
33,T026629,t076924,2,007.0000,0.998010939831,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
34,T026629,t095180,2,006.0000,0.998009950249,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
35,T026629,t068035,2,005.0000,0.998008959681,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
36,T026629,t146335,2,004.0000,0.998007968127,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
37,T026629,t174448,2,007.0000,0.997514910537,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
38,T026629,t138938,2,006.0000,0.997513674789,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
39,T026629,t175845,2,005.0000,0.997016409746,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
40,T026629,t154831,2,002.0000,0.997011952191,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
41,T026629,t026910,2,001.0000,0.997010463378,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
42,T026629,t070293,2,008.0000,0.996526054591,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
43,T026629,t196850,1,998.0000,0.99650872818,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
44,T009952,t026629,2,004.0000,0.996023856859,p2@C11orf71,54494,25937,Q6IPW1,C11orf71,"chromosome 11 open reading frame 71","gene with protein product"
45,T026629,t026633,1,998.0000,0.996011964108,p6@HOXC5,3222,5127,,HOXC5,"homeobox C5","gene with protein product"
