T000001	chr10:100027943..100027958,-	LOXL4
T000006	chr10:100174900..100174956,-	PYROXD2
T000007	chr10:100174957..100174982,-	PYROXD2
T000014	chr10:100206642..100206717,-	HPS1
T000023	chr10:100995440..100995474,-	HPSE2
T000030	chr10:101089107..101089141,+	CNNM1
T000032	chr10:101190374..101190429,-	GOT1
T000033	chr10:101190430..101190441,-	GOT1
T000034	chr10:101190442..101190453,-	GOT1
T000044	chr10:101380158..101380235,-	SLC25A28
T000050	chr10:101418997..101419048,-	SLC25A28
T000051	chr10:101419187..101419313,+	ENTPD7
T000056	chr10:101491828..101491900,-	COX15
T000057	chr10:101491968..101492076,+	CUTC
T000058	chr10:101542384..101542406,+	ABCC2
T000062	chr10:101542462..101542535,+	ABCC2
T000067	chr10:101673730..101673781,-	DNMBP
T000070	chr10:101690650..101690683,-	DNMBP
T000079	chr10:101769617..101769716,-	DNMBP
T000091	chr10:101945375..101945386,-	ERLIN1
T000092	chr10:101945654..101945676,-	ERLIN1
T000093	chr10:101945681..101945710,-	ERLIN1
T000095	chr10:101945750..101945770,-	ERLIN1
T000096	chr10:101945771..101945795,-	ERLIN1
T000097	chr10:101945808..101945819,-	ERLIN1
T000099	chr10:101989315..101989368,-	CHUK
T000102	chr10:101997055..101997059,-	SNORA12
T000106	chr10:102027369..102027418,-	CWF19L1
T000107	chr10:102027420..102027442,-	CWF19L1
T000108	chr10:102045882..102045902,-	BLOC1S2
T000109	chr10:102045933..102045962,-	BLOC1S2
T000110	chr10:102045966..102045985,-	BLOC1S2
T000112	chr10:102046098..102046122,-	BLOC1S2
T000113	chr10:102046417..102046465,-	BLOC1S2
T000120	chr10:102106235..102106274,+	SCD
T000121	chr10:102106384..102106429,+	SCD
T000123	chr10:102106829..102106869,+	SCD
T000125	chr10:102106957..102106970,+	SCD
T000126	chr10:102106982..102107015,+	SCD
T000127	chr10:102107016..102107024,+	SCD
T000128	chr10:102107051..102107062,+	SCD
T000129	chr10:102107065..102107089,+	SCD
T000130	chr10:102107103..102107119,+	SCD
T000134	chr10:102107745..102107756,+	SCD
T000192	chr10:102133271..102133305,+	LINC00263
T000193	chr10:102133340..102133361,+	LINC00263
T000194	chr10:102133377..102133394,+	LINC00263
T000195	chr10:102133422..102133433,+	LINC00263
T000196	chr10:102133437..102133463,+	LINC00263
T000197	chr10:102133567..102133578,+	LINC00263
T000198	chr10:102133591..102133639,+	LINC00263
T000216	chr10:102279586..102279637,-	SEC31B
T000217	chr10:102289611..102289643,-	SEC31B
T000218	chr10:102295684..102295713,+	HIF1AN
T000235	chr10:102505327..102505344,+	PAX2
T000244	chr10:102672712..102672734,+	FAM178A
T000245	chr10:102673191..102673218,+	FAM178A
T000246	chr10:102729249..102729308,+	SEMA4G
T000250	chr10:102746895..102746906,-	MRPL43
T000251	chr10:102747023..102747034,-	MRPL43
T000252	chr10:102747052..102747060,-	MRPL43
T000253	chr10:102747200..102747278,-	MRPL43
T000254	chr10:102747286..102747333,+	C10orf2
T000255	chr10:102756800..102756846,+	LZTS2
T000256	chr10:102756849..102756891,+	LZTS2
T000257	chr10:102758029..102758073,+	LZTS2
T000258	chr10:102758133..102758139,+	LZTS2
T000259	chr10:102758433..102758454,+	LZTS2
T000260	chr10:102759045..102759096,+	LZTS2
T000263	chr10:102759506..102759517,+	LZTS2
T000264	chr10:102759530..102759541,+	LZTS2
T000265	chr10:102759545..102759593,+	LZTS2
T000267	chr10:102790852..102790909,-	PDZD7
T000268	chr10:102790980..102791072,+	SFXN3
T000269	chr10:102791079..102791086,+	SFXN3
T000270	chr10:102791231..102791249,+	SFXN3
T000271	chr10:102791251..102791284,+	SFXN3
T000273	chr10:102791815..102791860,+	SFXN3
T000274	chr10:102792137..102792186,+	SFXN3
T000281	chr10:102820864..102820887,+	KAZALD1
T000282	chr10:102820974..102820985,+	KAZALD1
T000283	chr10:102820989..102821005,+	KAZALD1
T000284	chr10:102821551..102821589,+	KAZALD1
