"V1","V2"
"ZNF282","9.5477"
"FANCL","8.37552"
"ABCF3","8.37209"
"LRRC31","7.99129"
"SAGE1","7.92714"
"LY6K","7.71768"
"SUGT1P3","7.71067"
"NFIL3","7.70224"
"AIF1L","7.61427"
"MRGPRX3","7.36622"
"SEPHS1","7.27323"
"RABGAP1L","7.1898"
"MFI2","6.9717"
"SORBS1","6.7576"
"PLTP","6.7423"
"KCNJ9","6.58714"
"PGPEP1","6.49762"
"IL23A","6.46587"
"ARHGEF11","6.12716"
"MAMDC4","6.03826"
"SUFU","5.98134"
"ASCL3","5.96669"
"CYP3A4","5.90673"
"MXD3","5.87749"
"HOXC5","5.81974"
"RTF1","5.77519"
"GABRB1","5.65514"
"GNAQ","5.59157"
"SMEK2","5.49374"
"GPR161","5.4925"
"TRIML2","5.37565"
"RAD9A","5.21736"
"PLXDC2","5.16089"
"MRAP2","5.13369"
"LRRC58","5.13095"
"KCP","5.12455"
"CUX1","5.10318"
"LILRB2","5.05829"
"CCK","5.04896"
"RNF144B","5.00808"
"PRMT7","4.9905"
"MYO9A","4.84883"
"LECT2","4.77359"
"MYOZ2","4.73004"
"PHKB","4.72357"
"SMARCA1","4.7089"
"GREM2","4.70164"
"CCDC42B","4.61092"
"WDR26","4.51082"
"LOC100506469","4.39987"
"DGKB","4.39908"
"DNASE1L2","4.32811"
"FBXO33","4.243"
"PNMA2","4.24151"
"FAM20C","4.17719"
"DAGLB","4.15682"
"SRF","4.1165"
"DIXDC1","4.06052"
"CRYM","4.05805"
"EFNA5","3.98777"
"DDX27","3.94399"
"GALK2","3.80944"
"TIPARP","3.75308"
"FERD3L","3.67065"
"LDHAL6B","3.65968"
"HSD17B7","3.65195"
"LRRC29","3.60441"
"PRKCH","3.59169"
"GATM","3.57624"
"SHANK2","3.55893"
"MTPN","3.55265"
"PCNXL3","3.52088"
"CYP1B1","3.49197"
"SPG20","3.46395"
"ADCK4","3.44932"
"PC","3.44206"
"RET","3.41178"
"SERINC5","3.3882"
"ZDHHC22","3.34777"
"NFE2L3","3.30213"
"TUB","3.28001"
"DNAI2","3.24793"
"HOXC10","3.23887"
"HBS1L","3.2257"
"EIF2AK4","3.19029"
"ZFHX4-AS1","3.17664"
"RBM48","3.171"
"SNX5","3.15844"
"KCNJ3","3.1564"
"KLF11","3.14639"
"DLG1","3.13607"
"COMMD6","3.1357"
"ASB17","3.12777"
"CALN1","3.07845"
"KIAA1522","3.07613"
"PPP1CB","3.0679"
"CLRN3","3.06286"
"PPP2R5C","3.04852"
"NEUROD4","3.03993"
"NPFFR1","3.03903"
"VNN3","3.00062"
"ENTPD6","2.99759"
"KLHL5","2.96215"
"DLG5","2.95894"
"GGT2","2.95663"
"TIGD4","2.95417"
"PIP5KL1","2.94861"
"TNS3","2.92909"
"OSBP2","2.92626"
"IMPDH1","2.9223"
"GNAO1","2.92041"
"SRSF8","2.91458"
"VPS29","2.9054"
"SLCO1B7","2.89715"
"FAM65B","2.89089"
"SEMA3D","2.82331"
"CCND3","2.81759"
"URGCP","2.81039"
"LINC00518","2.79198"
"WDPCP","2.74434"
"CD1C","2.74062"
"NBL1","2.72237"
"MAATS1","2.71357"
"NUDT7","2.69938"
"ZNF649","2.69569"
"PITX2","2.68841"
"CCL7","2.68407"
"CEP85L","2.67247"
"PFKM","2.67017"
"SSTR1","2.66702"
"ZNF541","2.66347"
